學校名稱,縣市名稱,地址,電話,網址,longitude,latitude
國立政治大學,[38]臺北市,臺北市文山區指南路二段64號,(02)29393091,http://www.nccu.edu.tw,121.5733455,24.98741708
國立清華大學,[18]新竹市,新竹市東區光復路二段101號,(03)5715131,http://www.nthu.edu.tw,120.9908167,24.79280152
國立臺灣大學,[33]臺北市,臺北市大安區羅斯福路四段1號,(02)33663366,http://www.ntu.edu.tw,121.5322622,25.01472708
國立臺灣師範大學,[33]臺北市,臺北市大安區和平東路一段162號,(02)77491111,http://www.ntnu.edu.tw,121.5244256,25.02564147
國立成功大學,[21]臺南市,臺南市東區大學路1號,(06)2757575,http://www.ncku.edu.tw,120.2160002,22.99653107
國立中興大學,[19]臺中市,臺中市南區興大路145號,(04)22873181,http://www.nchu.edu.tw,120.6737251,24.11849553
國立陽明交通大學,[18]新竹市,新竹市東區大學路1001號,(03)5712121,http://www.nycu.edu.tw,120.9952855,24.78681488
國立中央大學,[03]桃園市,桃園市中壢區中大路300號,(03)4227151,http://www.ncu.edu.tw,121.1899397,24.96643097
國立中山大學,[52]高雄市,高雄市鼓山區蓮海路70號,(07)5252000,http://www.nsysu.edu.tw,120.2621621,22.62838797
國立臺灣海洋大學,[17]基隆市,基隆市中正區北寧路2號,(02)24622192,http://www.ntou.edu.tw,121.7729982,25.15043998
國立中正大學,[10]嘉義縣,嘉義縣民雄鄉三興村7鄰大學路一段168號,(05)2720411,http://www.ccu.edu.tw,120.4758743,23.56196197
國立高雄師範大學,[58]高雄市,高雄市苓雅區和平一路116號,(07)7172930,http://www.nknu.edu.tw,120.3190601,22.62750057
國立彰化師範大學,[07]彰化縣,彰化縣彰化市進德路1號,(04)7232105,http://www.ncue.edu.tw,120.5558507,24.08266668
國立臺北大學,[01]新北市,新北市三峽區大學路151號,(02)86741111,http://new.ntpu.edu.tw/,121.3637818,24.93997118
國立嘉義大學,[20]嘉義市,嘉義市東區鹿寮里學府路300號,(05)2717000,http://www.ncyu.edu.tw,120.4812143,23.46819578
國立高雄大學,[54]高雄市,高雄市楠梓區高雄大學路700號,(07)5919000,http://www.nuk.edu.tw,120.2823111,22.73376867
國立東華大學,[15]花蓮縣,花蓮縣壽豐鄉志學村大學路二段1號,(03)8903000,http://www.ndhu.edu.tw,121.5437136,23.89643858
國立暨南國際大學,[08]南投縣,南投縣埔里鎮大學路1號,(049)2910960#2996,http://www.ncnu.edu.tw,120.92809,23.95114308
國立臺灣科技大學,[33]臺北市,臺北市大安區基隆路四段43號,(02)27333141,http://www.ntust.edu.tw,121.5402321,25.01289978
國立雲林科技大學,[09]雲林縣,雲林縣斗六市大學路三段123號,(05)5342601,http://www.yuntech.edu.tw,120.531437,23.69584978
國立屏東科技大學,[13]屏東縣,屏東縣內埔鄉老埤村學府路1號,(08)7703202,http://www.npust.edu.tw,120.6147363,22.64731248
國立臺北科技大學,[33]臺北市,臺北市大安區忠孝東路三段1號,(02)27712171,http://www.ntut.edu.tw,121.5355146,25.04206937
國立臺北藝術大學,[42]臺北市,臺北市北投區學園路1號,(02)28961000,http://www.tnua.edu.tw,121.4688357,25.13359058
國立臺灣藝術大學,[01]新北市,新北市板橋區大觀路一段59號,(02)22722181,http://www.ntua.edu.tw,121.4462682,25.00614157
國立臺東大學,[14]臺東縣,臺東縣臺東市大學路二段369號,(089)318855,http://www.nttu.edu.tw,121.0660229,22.73693318
國立宜蘭大學,[02]宜蘭縣,宜蘭縣宜蘭市神農路一段1號,(03)9357400,http://www.niu.edu.tw,121.7450107,24.74629237
國立聯合大學,[05]苗栗縣,苗栗縣苗栗市恭敬里聯大1號,(037)381000,http://www.nuu.edu.tw,120.80979,24.54582728
國立虎尾科技大學,[09]雲林縣,雲林縣虎尾鎮文化路64號,(05)6315000,http://www.nfu.edu.tw,120.4278711,23.70155318
國立臺南藝術大學,[11]臺南市,臺南市官田區大崎里大崎66號,(06)6930100,http://www.tnnua.edu.tw,120.3730326,23.18712618
國立臺南大學,[21]臺南市,臺南市中西區樹林街二段33號,(06)2133111,http://web.nutn.edu.tw,120.2054229,22.98478137
